Year,Avg Temperature (°C),CO2 Emissions (Tons/Capita),Sea Level Rise (mm),Rainfall (mm),Population,Renewable Energy (%),Extreme Weather Events,Forest Area (%)
2018.3535,36.87274,16.360058,2.013817,3557.3071,916388350.0,21.686571,11.745766,54.996765
2011.3821,30.559587,12.281927,1.9273849,3436.6428,1291328100.0,14.93415,2.709714,54.003544
2006.1632,29.408895,11.135179,2.2310228,1399.2235,1216390000.0,32.37267,1.8194,36.54925
2014.4113,26.67663,13.13032,1.5688993,3327.6487,1337540200.0,26.864716,15.656269,45.195683
2004.9816,26.010185,9.978834,2.0402455,1940.2654,898853500.0,27.805801,8.447093,53.66964
2006.3284,15.880164,6.3098745,1.6369934,1888.6578,1020460600.0,36.09879,8.417766,39.918312
2001.3171,25.357851,11.110644,2.271018,2662.6045,1542387100.0,47.370975,14.946978,43.13793
2015.3951,38.38803,19.934698,1.1708983,3394.9556,2122833200.0,53.18004,17.135908,89.60697
2023.1914,36.897335,9.931894,2.5745869,1830.9304,1477334300.0,21.960884,6.1458707,64.98987
2008.7417,27.41527,14.376164,2.1021113,2637.2703,1355360400.0,34.5636,6.33846,38.82369
2011.549,35.137714,13.230462,2.0517793,2633.524,1907509100.0,46.187687,15.414785,84.50228
2009.623,28.129341,17.144625,2.9712932,2424.6455,1605762600.0,69.0152,12.863415,73.32673
2015.3755,36.850292,16.166769,1.4196589,2816.2695,1011465660.0,28.59172,8.536915,47.51016
2002.837,19.678175,11.746348,2.0413637,1980.4729,1235960400.0,34.667408,9.756833,31.203163
2024.6898,33.13748,11.262974,3.2230265,2418.6838,1182609400.0,23.329153,7.072632,70.33737
2017.8492,27.805248,11.942628,3.0502944,2226.1868,1321703000.0,34.995197,4.26379,48.856617
2022.7623,35.660927,14.530854,4.103571,3896.4016,903556540.0,9.823741,9.653126,66.88055
2004.5216,33.16068,11.7511215,2.3902822,2772.489,1536015100.0,40.834373,8.825706,39.530987
2002.0364,21.49631,9.034156,0.9419489,1652.0845,1284747300.0,40.0363,8.188849,39.489117
2005.0237,36.386814,16.274776,1.6938215,3279.214,1999267100.0,44.995094,12.868946,58.110603
2016.5085,22.696308,10.643627,2.0268984,2656.4375,1308706300.0,27.692919,13.764513,70.269035
2003.3588,24.151178,5.4161763,0.9487476,1090.245,1408915100.0,33.855762,9.062483,31.186619
2001.9863,25.139359,15.9223,2.1721683,3179.509,1180360800.0,43.37914,10.430391,46.33403
2015.1403,24.93392,12.570692,1.6737247,2602.0032,809621060.0,8.815622,5.409602,41.443542
2020.5635,21.154503,7.428075,2.8984938,2495.5698,884954500.0,25.604994,7.4672446,56.95168
2007.1913,29.184425,11.474989,2.2894,2398.8452,1286221800.0,38.207497,8.52597,56.628864
2019.6903,40.89038,9.033845,0.5570135,3188.865,1386300400.0,29.953588,10.353398,55.501087
2003.4912,31.189709,14.836083,1.0636812,2367.9958,1569164700.0,46.50308,13.7830515,46.229275
2015.2738,29.051039,17.075016,1.8472917,2676.0967,1455957000.0,40.096237,6.8948116,53.329975
2011.2932,32.944836,21.790556,0.3378204,3876.925,1450919600.0,29.423578,17.072094,69.69981
2027.287,44.723717,20.351124,3.239086,2892.9717,1383194200.0,25.411505,4.156748,78.62031
2010.9497,33.60132,9.456812,1.0062596,2700.1992,1189172200.0,16.822945,6.617056,51.69819
2020.1521,23.26404,10.5035715,2.5876727,2352.9727,693360200.0,26.934835,7.723175,44.5514
2006.4102,30.183294,6.733052,2.4753804,1833.959,1140641500.0,22.081133,8.72854,36.82586
2018.5255,30.255014,12.647048,1.8028885,3375.404,1440813800.0,19.617981,3.460711,34.962994
1997.1816,29.825056,12.427949,1.6862259,1501.7638,1546266500.0,53.4919,11.952898,58.233116
